scientific,_score,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,0.1864857087773126,0.6950885057449341,0.9926188056190186,22.575356616596775,2.649275075077076,0.17458809008590961,0.4117647058823529,0.032842308621106014,5.0,50.38907020828669,0.2512275617805683,3.726059793413588,0.31016042780748665,0.8766160411698255,2.616139994332858,0.5634335238797713
Sardinella longiceps,0.11936770480358123,0.7953267097473145,0.9970547659410904,18.465140110807287,2.8747404721885252,0.13539393793851484,0.27450980392156865,0.001469687691365585,4.0,37.473722804197486,0.18995713410900184,4.564670936452918,0.29198966408268734,0.8194250485370755,3.0985616966181757,0.5501246255516682
Sardinella longiceps,0.09724659786340577,0.7322722673416138,0.9958163484883189,19.99628434245475,3.671406104051652,0.17908887506880258,0.4117647058823529,0.03372220196864747,6.0,66.74377087755876,0.3068902661319723,5.501949812440276,0.23060344827586207,0.6662701215658575,4.319482723091372,0.5414719626168224
Sardinella longiceps,0.08590667671696489,0.6586784720420837,0.9943711245221526,20.64439346034658,2.977957609377076,0.16202777823689185,0.32941176470588235,0.00449564484405732,6.0,60.33078955244241,0.32202865973588085,2.015536876696287,1.7216494845360826,0.6556351340557522,7.693361691003466,0.5700583369343787
Sardinella longiceps,0.061979596590725,0.4344246983528137,0.9797218056008639,28.49118369130774,1.8909498137940877,0.3624268375716008,0.6039215686274509,0.10409366040140172,5.0,40.60299071672406,0.16617553360942974,3.75914530268544,0.3501144164759725,0.5759439543574784,4.37044338614078,0.36764331972300746
Sardinella longiceps,0.05467165405019205,0.03327823802828789,0.8350670749801301,25.055102792852924,3.64251869422987,0.11329521499321378,0.26666666666666666,0.01134020618556701,3.0,58.78301134464044,0.1599042709867452,5.591138609198164,0.3804100227790433,0.846357636905895,3.5660232642533036,0.3638577060003001
Sardinella longiceps,0.03189714842392075,0.03399617224931717,0.782170019663739,72.45087090551597,3.5432754602687693,0.2736122214151898,0.7450980392156863,0.17076958919002874,5.0,68.93382152160083,0.3032279775309984,1.5947687939627295,1.2007299270072993,0.6044319536436912,5.63032028938202,0.42466665187584585
Sardinella longiceps,0.025906212589336387,0.08650238811969757,0.8841576063919661,12.950490736026376,2.900399978745347,0.09016890157142352,0.19607843137254902,0.0,6.0,55.87835754557615,0.31558605983874194,5.454372893081226,0.27113702623906705,0.7506286887349243,3.842312216573868,0.4585096711495658
Sardinella longiceps,0.018154237373133146,0.04650013893842697,0.8842517505986305,29.34042210519482,2.8491817727877526,0.1568135446060343,0.3215686274509804,0.006220347917764892,4.0,44.39671505871313,0.30279388508170796,5.091301165578081,0.21428571428571427,0.9119091314914934,2.847452235130075,0.6755217519106408
Sardinella longiceps,0.012989874979192802,0.3407088816165924,0.9817546942981162,14.784641875318972,2.9747285369919125,0.14197050721114893,0.25843137254902,0.0030991735537190084,5.0,51.12229684264307,0.3125,4.665513372039778,0.8152866242038217,0.6355712806351398,4.495683017217793,0.1832454219745223
