scientific,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,26.4480720046925,2.7914656817075056,0.264242173531235,0.5058823529411764,0.03447119439843091,5.0,47.84414950286959,0.1189317181735958,1.1782466273402115,0.9272237196765498,0.9617819990954319,1.4398356340094218,0.76646242086128
Sardinella longiceps,38.058932563579766,3.195498488141997,0.1643481185107058,0.3568627450980392,0.07429351003702982,5.0,57.561856296135446,0.27310465796141103,1.2533538803221855,1.3214285714285714,0.9424419997420164,1.8263840090638015,0.7713486365830116
Sardinella longiceps,16.940901373877708,2.8994785239114065,0.14099424454070997,0.2823529411764706,0.001119702219733995,6.0,56.61490273309311,0.2904416771323518,1.5414746594409776,1.4853556485355648,0.9078830207579721,3.034822842568141,0.769108374093936
Sardinella longiceps,42.405685958354056,3.1324062004587683,0.18783808414063752,0.5843137254901961,0.09752761929183494,5.0,58.20788644421511,0.2862149283073701,1.2093147833363347,1.1891891891891893,0.9672354735603702,1.698515233005415,0.79257098007098
Sardinella longiceps,45.86272985986063,3.0644759624147957,0.19272055107107286,0.6431372549019608,0.10751516300227446,5.0,57.38884788231801,0.2844958301743745,1.1319481839730654,1.152073732718894,0.9594408483679934,2.0679055757396454,0.7704884792626728
Sardinella longiceps,18.024294289767855,3.1639300259220122,0.14250487181269927,0.33725490196078434,0.02113508423983813,6.0,64.08365126416992,0.24957429332692269,1.375067239445872,0.7806691449814126,0.9381054029694986,1.7656606006210844,0.8752080014161798
Sardinella longiceps,28.096847428636675,2.154686603156348,0.1915406859694718,0.3843137254901961,0.003318813524165111,6.0,68.306617009102,0.17848993984650488,1.3251236412636125,1.4375,0.8221715030974894,3.0275396672885386,0.6344605475040258
Sardinella longiceps,19.28629907782748,3.533289854242533,0.1630635815970224,0.3607843137254902,0.006958034355294629,6.0,63.03246235370826,0.28479017177647314,5.47918893555947,0.23529411764705882,0.6719835252269961,4.234228494459145,0.5453026251823043
Sardinella longiceps,27.353437084611798,3.520441630739002,0.1165213322882813,0.28627450980392155,0.011205887272119084,4.0,58.41069863908662,0.16379550649495456,5.503467282363483,0.3789173789173789,0.843540359229604,3.6021150782578633,0.3757470599575863
Sardinella longiceps,28.19495679615079,1.8553612023150616,0.35075545244371586,0.6,0.09558953769852985,5.0,40.01077864832742,0.1861604770620535,3.899621738094744,0.3126760563380282,0.6336631760976078,4.12816929309567,0.4184621240959269
